dob,fighter_id,height,n_draw,n_loss,n_win,name,reach,sig_str_abs_pM,sig_str_def_pct,sig_str_land_pM,sig_str_land_pct,stance,sub_avg,td_avg,td_def_pct,td_land_pct,weight
"Apr 12, 1985",948880beac71f028,"5' 9""",0,5,14,Felipe Olivieri,"72""",4.6,0.57,6.68,0.58,Orthodox,0.0,0.0,0.71,0.0,155 lbs.
"Jun 01, 1983",32c03df3c9760069,"5' 10""",0,9,24,Wendell Oliveira,"72""",4.4,0.47,3.77,0.47,Orthodox,0.0,0.0,1.0,0.0,170 lbs.
"Feb 21, 1988",57b10fca4f9c9a7a,"5' 11""",1,8,19,Alex Oliveira,"76""",2.25,0.46,2.9,0.5,Orthodox,0.7,2.86,0.61,0.39,170 lbs.
"Feb 19, 1984",acd9513399a8b09b,"6' 5""",1,2,13,Ednaldo Oliveira,"79""",1.8,0.52,1.03,0.22,Orthodox,0.0,0.0,0.42,0.0,205 lbs.
--,bec2746f033802c3,"6' 1""",1,2,5,Jorge Oliveira,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,205 lbs.
"Oct 17, 1989",07225ba28ae309b6,"5' 10""",0,8,28,Charles Oliveira,"74""",3.03,0.54,3.21,0.5,Orthodox,2.8,2.77,0.58,0.42,155 lbs.
"Jan 26, 1982",15b1b21cd743d652,"5' 8""",0,7,15,Rafaello Oliveira,"71""",3.38,0.59,2.19,0.33,Orthodox,1.6,2.49,0.11,0.36,155 lbs.
"Feb 22, 1995",0d65c432720accb9,"6' 0""",0,3,14,Michal Oleksiejczuk,"74""",3.23,0.68,5.39,0.56,Southpaw,0.0,1.2,0.75,0.66,205 lbs.
"Jun 20, 1977",98c23cb6da5b3352,"6' 2""",1,13,57,Aleksei Oleinik,"80""",3.61,0.49,3.53,0.51,Orthodox,2.4,2.69,0.2,0.39,240 lbs.
--,02a65a55f25fb4f3,--,0,5,8,Masakatsu Okuda,--,4.27,0.34,0.0,0.0,,4.3,0.0,0.0,0.0,--
--,33454ad90754cb49,"5' 11""",0,9,7,Kazuki Okubo,--,1.97,0.46,1.53,0.38,Orthodox,2.0,0.51,0.36,0.25,175 lbs.
"Nov 04, 1990",aa40fe6038db56cb,"5' 11""",0,1,6,JJ Okanovich,"76""",5.27,0.5,6.93,0.55,Orthodox,0.0,0.0,1.0,0.0,155 lbs.
"Jul 21, 1981",acff437707625fc7,"6' 2""",0,12,35,Yushin Okami,"75""",2.25,0.6,2.06,0.38,Southpaw,0.5,1.98,0.84,0.39,170 lbs.
--,32541eb5d12668b4,"6' 1""",2,3,3,Takayuki Okada,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,290 lbs.
"May 31, 1977",01daf32100ed7517,"5' 8""",8,8,21,Koji Oishi,--,17.86,0.43,1.43,0.09,Orthodox,0.0,0.0,0.0,0.0,170 lbs.
--,6a8a06b542e1516d,"5' 10""",0,2,0,Michiyoshi Ohara,--,3.13,0.48,0.28,0.29,Orthodox,0.0,0.0,0.33,0.0,205 lbs.
"Feb 16, 1989",b6c4451cb13c9303,"5' 8""",0,6,9,Andy Ogle,"69""",2.23,0.5,2.24,0.44,Orthodox,0.0,1.44,0.58,0.26,145 lbs.
"Mar 31, 1968",4b2390cfaceb91d8,"6' 4""",0,2,7,Naoya Ogawa,--,1.66,0.47,2.41,0.42,Orthodox,1.2,1.25,0.66,1.0,255 lbs.
"Sep 19, 1989",0845c81e37d3bcb3,"6' 2""",0,4,16,Volkan Oezdemir,"75""",3.93,0.57,5.04,0.46,Orthodox,0.0,0.48,0.76,0.22,205 lbs.
"May 08, 1975",f43907e75f8d9baa,"6' 5""",0,1,8,Richard Odoms,"82""",0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,265 lbs.
"Feb 05, 1996",2d6d6ffe5a446ea2,"5' 8""",0,1,4,Christian Ocon,"69""",5.27,0.34,1.73,0.53,Orthodox,0.0,0.0,0.63,0.0,135 lbs.
"Jan 15, 1981",6e3282d57d2467a0,"5' 8""",1,5,12,Nobuhiro Obiya,--,2.53,0.55,0.63,0.28,Orthodox,0.5,0.5,0.41,0.5,145 lbs.
--,7139cd2ae4bf6a29,"5' 8""",1,7,5,Takahiro Oba,--,1.82,0.69,0.23,0.25,Southpaw,0.0,0.0,0.0,0.0,200 lbs.
"Jun 24, 1987",494b0bfdbac74502,"5' 7""",0,3,6,Brendan O'Reilly,"69""",2.77,0.39,1.9,0.47,Orthodox,0.6,2.22,0.36,0.43,170 lbs.
"Sep 22, 1985",56bc9ccb609df534,"6' 2""",0,4,9,Chuck O'Neil,--,4.4,0.72,3.13,0.37,,0.0,0.0,0.0,0.0,170 lbs.
"Oct 25, 1977",338fda4ec7034c5d,"5' 8""",0,25,13,Jeremiah O'Neal,--,7.5,0.23,1.15,0.4,,0.0,0.0,0.0,0.0,260 lbs.
"Oct 24, 1994",b50a426a33da0012,"5' 11""",0,0,10,Sean O'Malley,"72""",4.06,0.66,6.75,0.56,Switch,1.3,1.31,0.61,0.5,135 lbs.
"Feb 25, 1971",46effbd1135423c5,"6' 5""",0,2,4,Sean O'Haire,--,22.76,0.21,8.28,0.57,Orthodox,0.0,0.0,0.0,0.0,270 lbs.
"Nov 17, 1982",69ea0119f6f0dfe0,"5' 4""",0,6,6,Dan O'Connor,--,5.1,0.54,4.0,0.56,,0.0,0.0,1.0,0.0,115 lbs.
"Sep 02, 1983",cb52f9490c2dc069,"6' 1""",0,9,17,Sean O'Connell,"74""",6.77,0.45,5.46,0.48,Orthodox,0.5,0.0,0.3,0.0,205 lbs.
"Jan 01, 1987",d25b93992f285953,"6' 2""",0,5,16,TJ O'Brien,--,4.78,0.57,3.77,0.46,Orthodox,0.0,0.94,0.0,1.0,155 lbs.
"Sep 25, 1984",20bcc9966affb19c,"6' 3""",0,4,13,Jake O'Brien,"76""",1.92,0.69,1.31,0.31,Orthodox,0.2,6.39,0.25,0.54,205 lbs.
"Aug 14, 1980",e9e1acc96536bb4f,"5' 10""",0,4,8,Ricardo Funch,"76""",3.57,0.4,2.61,0.65,Southpaw,0.0,1.24,0.6,0.18,170 lbs.
"Mar 13, 1969",aa3153a9941b4d44,"6' 0""",1,13,39,Masakatsu Funaki,--,2.92,0.35,1.82,0.68,Southpaw,5.5,0.0,0.0,0.0,185 lbs.
--,1f5f75658551f2d3,--,0,2,0,Sam Fulton,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,--
"May 29, 1977",911fb265462f0d94,"6' 0""",10,49,127,Travis Fulton,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,240 lbs.
"Oct 06, 1986",4638cc6479cc0afe,"5' 10""",0,6,10,Masio Fullen,"70""",3.5,0.54,2.46,0.32,Orthodox,0.0,0.47,0.69,0.33,145 lbs.
"Jan 06, 1981",7c35f869033901ae,"6' 0""",0,7,19,Riki Fukuda,"73""",3.71,0.64,4.24,0.43,Southpaw,0.0,2.17,0.7,0.43,185 lbs.
--,ccd58ff71e260ed5,"5' 6""",4,4,11,Keisuke Fujiwara,--,1.2,0.47,0.73,0.44,Switch,2.5,0.0,0.23,0.0,139 lbs.
"Oct 16, 1970",b1605ea39fba6af6,"6' 0""",0,9,15,Kazuyuki Fujita,--,1.99,0.52,1.05,0.49,Orthodox,0.6,2.78,0.85,0.36,235 lbs.
"Apr 26, 1974",fb6c531726447ff3,"5' 3""",0,3,26,Megumi Fujii,--,0.0,1.0,2.4,0.42,,12.0,0.0,0.0,0.0,113 lbs.
"Aug 15, 1972",d71d968dc6ecfdaf,"6' 0""",1,18,9,Katsuhisa Fujii,--,4.43,0.64,4.0,0.5,Orthodox,2.1,2.14,0.5,0.25,205 lbs.
"Jan 28, 1983",c3c38c86f5ab9b5c,"6' 4""",0,2,3,Jesse Fujarczyk,--,4.91,0.38,1.03,0.33,Southpaw,0.0,0.0,0.25,0.0,225 lbs.
"Mar 26, 1971",253de74457bd6374,"6' 0""",1,9,14,Tony Fryklund,--,6.5,0.43,3.49,0.39,Orthodox,0.5,0.0,0.66,0.0,185 lbs.
"Nov 23, 1965",271fe91f4ba9d2c5,"6' 1""",1,9,20,Don Frye,--,3.57,0.37,2.87,0.64,Orthodox,0.7,0.91,0.45,0.57,219 lbs.
"Apr 14, 1987",1641ef250e9de19b,"5' 6""",0,2,9,Sarah Frota,"69""",2.57,0.55,4.52,0.52,Southpaw,0.0,0.0,0.53,0.0,125 lbs.
"Sep 07, 1991",ee704df0afd74558,"5' 10""",0,0,11,Artem Frolov,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,185 lbs.
"Jun 11, 1990",dccb63727f2f5f74,"5' 9""",1,1,8,Matt Frevola,"71""",3.47,0.6,3.19,0.39,Orthodox,1.4,3.3,0.75,0.4,155 lbs.
"May 29, 1975",756f45905fb20cb5,"5' 10""",0,9,8,Mike French,--,2.17,0.42,0.23,0.23,,1.0,0.0,0.22,0.0,145 lbs.
"Oct 07, 1980",73321668ff977f1b,"5' 7""",0,6,19,Clay French,--,1.27,0.16,1.52,0.5,Southpaw,0.0,0.0,1.0,0.0,161 lbs.
"Jan 20, 1985",9aa56f004b2bca07,"5' 7""",0,3,6,Donavon Frelow,--,3.2,0.52,2.4,0.27,Orthodox,0.0,1.0,0.26,1.0,135 lbs.
--,14b9e0f2679a2205,--,0,6,4,Rafael Freitas,--,8.0,0.51,2.0,0.29,Orthodox,0.0,11.25,0.0,0.5,205 lbs.
"Jun 01, 1986",90e6dde9113830bd,"5' 7""",0,8,17,Patricky Freire,--,3.34,0.69,3.06,0.44,,0.0,1.26,1.0,0.33,155 lbs.
"Jul 07, 1987",98a58c26c5b1ed17,"5' 5""",0,4,26,Patricio Freire,--,4.43,0.6,2.84,0.41,,0.6,0.6,0.94,0.18,145 lbs.
"Jul 28, 1987",f1f37d667bcd0d27,"5' 8""",0,5,19,Willamy Freire,--,0.93,0.62,1.53,0.37,,0.0,0.5,0.73,1.0,155 lbs.
"Sep 02, 1976",5870bd1eadf4f322,"6' 2""",0,4,6,Jason Freeman,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,225 lbs.
"Nov 10, 1966",b4bc2e3353a770b5,"5' 11""",1,7,19,Ian Freeman,--,3.11,0.44,2.54,0.48,Orthodox,0.7,1.44,0.8,0.4,225 lbs.
"Jun 15, 1989",78863e4a28204a6b,"6' 0""",0,3,11,Justin Frazier,"75""",6.11,0.04,1.11,0.66,Southpaw,0.0,0.0,0.0,0.0,265 lbs.
--,3beeeafcbc8b4cbc,"6' 0""",0,2,1,Gary Frazier,--,2.77,0.46,1.5,0.39,Orthodox,0.0,0.0,1.0,0.0,245 lbs.
--,d3711d3784b76255,"6' 5""",0,11,4,Zane Frazier,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,250 lbs.
--,040d3b4c735541aa,"5' 4""",0,1,11,Zoila Frausto,--,1.64,0.53,0.77,0.31,Orthodox,0.0,0.0,0.57,0.0,135 lbs.
"Oct 05, 1974",d897897060f10a3a,"6' 1""",0,7,29,Rich Franklin,"75""",2.07,0.62,4.1,0.44,Southpaw,0.7,1.31,0.63,0.66,185 lbs.
"Jul 16, 1982",b9532d815060de7f,"5' 6""",0,2,6,John Franchi,"67""",2.59,0.48,1.83,0.48,Orthodox,0.3,2.68,0.4,0.8,145 lbs.
"Jan 21, 1983",ecfdbf38681a59ba,"6' 0""",1,3,7,Francisco France,--,3.51,0.27,0.54,0.33,,6.1,0.0,0.0,0.0,205 lbs.
"Feb 28, 1991",00a3ff40c4b2cf21,"6' 0""",0,5,14,Glaico Franca,"77""",3.46,0.47,2.35,0.42,,0.3,2.68,0.76,0.42,155 lbs.
"Aug 26, 1974",e0ec3c3b6b611f7e,"5' 6""",0,12,22,Hermes Franca,"71""",2.85,0.55,1.78,0.39,Orthodox,2.4,1.53,0.37,0.36,155 lbs.
"Apr 28, 1979",f65a0eb902f9476b,"5' 11""",0,4,18,Brandon Foxworth,--,4.59,0.5,1.33,0.32,Orthodox,0.0,0.0,0.0,0.0,145 lbs.
--,d745d4146be48679,"5' 11""",0,0,2,Mason Fowler,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"Jul 03, 1982",ec33146e43e58933,"6' 1""",0,16,21,Xavier Foupa-Pokam,--,2.5,0.49,1.47,0.43,Open Stance,0.0,0.0,0.16,0.0,185 lbs.
"Apr 03, 1984",3dc3022232b79c7a,"5' 9""",0,5,18,Brian Foster,"71""",1.63,0.65,3.3,0.39,Orthodox,1.8,3.67,0.37,0.6,170 lbs.
"Oct 22, 1985",d761b3766e38c5db,"6' 1""",0,3,9,Marcel Fortuna,"74""",4.52,0.64,3.83,0.46,Orthodox,0.5,0.45,0.75,0.08,205 lbs.
"Mar 27, 1987",44bc27bfa76dcd9e,"5' 7""",0,4,8,Renee Forte,"71""",2.12,0.63,2.08,0.32,Orthodox,0.0,2.32,0.66,0.58,155 lbs.
"May 13, 1979",5340123d826ceadb,"5' 9""",0,9,11,Codale Ford,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"Mar 12, 1986",a71ce6ff0b4a9dbb,"5' 10""",0,5,13,Sterling Ford,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,155 lbs.
"Oct 24, 1984",947eccadb72f4f6f,"6' 2""",0,5,15,Jesse Forbes,"75""",4.06,0.53,2.11,0.24,Southpaw,1.2,1.79,0.66,0.75,185 lbs.
--,7a82635ffa9b59fe,"5' 5""",1,13,9,Claudionor Fontinelle,--,10.25,0.28,2.62,0.42,Orthodox,0.0,0.0,0.0,0.0,185 lbs.
"Jun 25, 1987",05339613bf8e9808,"5' 8""",0,4,17,Rob Font,"71""",3.89,0.63,5.11,0.41,Orthodox,0.8,1.25,0.5,0.36,135 lbs.
--,0adf1aacda5e26ac,"5' 4""",0,4,5,AJ Fonseca,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,145 lbs.
--,5de61b03868035ff,"5' 7""",0,4,5,Matt Foki,--,3.37,0.56,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,220 lbs.
--,fa534853eb195270,"5' 7""",0,5,5,Mal Foki,--,14.29,0.54,2.86,0.14,Orthodox,0.0,0.0,0.0,0.0,220 lbs.
"Jan 07, 1984",01d2ed8c502e3828,"5' 9""",0,3,7,Caros Fodor,"76""",2.83,0.54,2.76,0.54,Orthodox,0.0,2.1,0.5,0.25,155 lbs.
--,c97fc5fbf7d32b8a,--,0,4,6,Bobby Flynn,--,0.77,0.0,0.38,0.25,,0.0,0.0,0.0,0.0,170 lbs.
"Jul 18, 1988",8164250600b7c91b,--,0,0,2,Cody Floyd,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,--
"May 26, 1976",cb139171ed1b69fe,"5' 10""",0,6,14,Kenny Florian,"74""",1.85,0.63,2.41,0.4,Southpaw,1.3,2.22,0.6,0.33,145 lbs.
"Mar 17, 1988",b5f44dcb863f595b,"6' 0""",0,1,7,Luke Flores,--,2.34,0.62,2.11,0.46,Southpaw,1.8,0.0,0.5,0.0,155 lbs.
"Jan 08, 1983",7d09200f6a77b20e,"6' 2""",0,3,9,Colin Fletcher,"78""",2.97,0.62,3.1,0.34,Orthodox,0.0,0.0,0.27,0.0,155 lbs.
"Mar 05, 1993",c814b4c899793af6,"5' 8""",0,1,7,Rafael Fiziev,"71""",3.96,0.55,4.08,0.5,Switch,0.0,0.91,1.0,1.0,155 lbs.
"Feb 24, 1978",6f018c039b4d5d80,"6' 0""",1,5,27,Jon Fitch,"76""",1.65,0.54,2.61,0.5,Orthodox,0.8,3.6,0.56,0.51,170 lbs.
--,5517bd590dbbe1f8,"5' 4""",0,4,2,Bryanna Fissori,--,1.2,0.57,1.4,0.46,,0.0,2.0,0.5,0.25,145 lbs.
"Jun 06, 1992",bebb4ae55ac2bf6f,"5' 8""",1,3,18,Chris Fishgold,"68""",2.53,0.53,2.53,0.31,Orthodox,1.5,4.55,0.33,0.5,145 lbs.
"May 09, 1976",f34312c2ccfa0e00,"5' 7""",0,9,25,Spencer Fisher,"70""",3.03,0.64,3.17,0.43,Southpaw,0.8,0.67,0.6,0.3,155 lbs.
"Mar 18, 1982",16d09e800ad7ec79,"5' 6""",0,6,13,Luiz Firmino,--,1.22,0.51,1.23,0.5,Orthodox,0.9,3.86,0.2,0.45,154 lbs.
"Jan 22, 1981",9583662df31d943f,"5' 8""",0,11,22,Luigi Fioravanti,"70""",2.21,0.69,2.23,0.42,Orthodox,0.9,3.76,0.67,0.63,170 lbs.
--,3317823959d32a05,"5' 8""",0,10,8,Jan Finney,--,8.75,0.42,2.16,0.28,Orthodox,0.0,0.77,0.25,0.11,135 lbs.
"Jul 11, 1974",0496cdac0bc9edd8,"6' 0""",0,1,6,Jesse Finney,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
--,997b4f52f76a0b53,"6' 0""",0,3,2,Brady Fink,--,1.69,0.61,1.69,0.41,Orthodox,3.6,3.63,0.0,0.25,183 lbs.
"Sep 10, 1974",c32fb8c0f6471a4d,"6' 2""",2,11,31,Mirko Cro Cop,"73""",1.89,0.63,2.11,0.5,Southpaw,0.3,0.19,0.78,0.4,230 lbs.
"Jun 25, 1990",8fd808923cffff82,"5' 11""",0,6,20,Andre Fili,"74""",3.86,0.53,4.08,0.37,Orthodox,0.2,2.44,0.69,0.46,145 lbs.
"May 24, 1978",2abdead94ce73552,"5' 8""",2,4,22,Paulo Filho,--,1.67,0.66,1.86,0.48,Southpaw,1.6,2.4,0.42,0.32,185 lbs.
"Jul 31, 1984",bbfca6d5c27d9cd8,"5' 7""",0,4,9,Edwin Figueroa,"69""",3.06,0.51,2.57,0.39,Orthodox,0.6,0.2,0.37,1.0,135 lbs.
--,daff32bc96d1eabf,"5' 4""",1,6,5,Anthony Figueroa,--,3.77,0.49,2.37,0.48,Orthodox,0.0,0.0,0.58,0.0,135 lbs.
"Dec 18, 1987",aa72b0f831d0bfe5,"5' 5""",0,1,17,Deiveson Figueiredo,"68""",2.4,0.53,2.44,0.52,Orthodox,2.4,1.78,0.59,0.47,125 lbs.
"Nov 18, 1974",6e380a4d73ab4f0e,"6' 2""",1,30,25,Ron Fields,--,2.64,0.11,0.33,0.33,Orthodox,0.0,0.0,0.0,0.0,200 lbs.
--,0ec821423baa26bd,"6' 4""",0,1,0,Scott Fiedler,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,235 lbs.
"Dec 14, 1979",d814f5192e58fb2f,"5' 10""",0,16,41,Drew Fickett,"70""",2.29,0.57,2.33,0.41,Orthodox,2.2,1.3,0.3,0.35,155 lbs.
"Apr 26, 1965",977081bc01197656,"5' 11""",0,2,4,Scott Ferrozzo,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,323 lbs.
"Jan 18, 1985",f53d4f21d1b5f2dc,"5' 9""",0,2,16,Diego Ferreira,"74""",3.1,0.61,5.19,0.36,Orthodox,0.9,0.57,0.7,0.2,155 lbs.
"Feb 15, 1985",dbc17725b887860a,"6' 1""",0,8,14,Cezar Ferreira,"78""",2.44,0.53,1.9,0.42,Southpaw,0.5,2.69,0.84,0.53,185 lbs.
"Apr 25, 1979",28ba5f27e473420c,"5' 7""",0,6,18,Alexandre Ferreira,--,8.14,0.42,2.57,0.6,Orthodox,0.0,0.0,0.0,0.0,205 lbs.
"Mar 30, 1980",cbc071cb20ea59c7,"5' 7""",0,3,10,Bibiano Fernandes,--,2.02,0.72,2.91,0.4,Orthodox,0.6,3.97,0.77,0.53,139 lbs.
"Nov 13, 1977",979f7edbb6980b0d,"6' 2""",3,8,14,CJ Fernandes,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"May 13, 1988",b0f316c60f8d3b47,"5' 5""",0,5,7,Josh Ferguson,"66""",4.18,0.32,2.13,0.43,Orthodox,0.0,0.59,0.54,0.11,125 lbs.
"Feb 12, 1984",22a92d7f62195791,"5' 11""",0,3,26,Tony Ferguson,"76""",3.75,0.63,5.81,0.45,Orthodox,1.4,0.56,0.75,0.42,155 lbs.
--,15f4550e017f6c7d,"5' 7""",0,0,3,Rhadi Ferguson,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,205 lbs.
"Feb 08, 1974",27541033b97c076d,"6' 2""",0,2,5,Kevin Ferguson,--,3.41,0.38,2.3,0.5,Orthodox,1.2,3.1,0.36,0.72,235 lbs.
"Apr 28, 1979",954e3f4e2b0e6510,--,0,2,1,JP Felty,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"Jan 12, 1995",a2ea77e974c5889f,"6' 0""",0,0,8,Carlos Felipe,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,245 lbs.
"Apr 25, 1984",e5010b1b94ca5755,"5' 11""",0,4,17,Paul Felder,"70""",3.17,0.5,3.55,0.43,Orthodox,0.3,0.29,0.59,0.27,155 lbs.
--,5af26b3201690d29,"6' 0""",3,19,25,Rodney Faverus,--,1.6,0.54,2.3,0.53,Southpaw,0.0,4.5,0.25,1.0,215 lbs.
"Apr 09, 1985",9c42a0de8e012870,"5' 8""",0,2,3,Kelly Faszholz,"67""",3.61,0.52,4.01,0.48,Orthodox,0.0,0.0,0.44,0.0,135 lbs.
"Jun 19, 1989",f89e6e66b9b112de,"6' 4""",0,2,7,Rico Farrington,"79""",7.2,0.51,6.33,0.41,Southpaw,0.0,0.0,0.2,0.0,170 lbs.
"Sep 11, 1975",49c7236c737d7e59,"5' 9""",0,3,8,Chance Farrar,--,2.21,0.67,0.81,0.22,Southpaw,0.0,3.02,0.0,1.0,145 lbs.
"Jul 23, 1986",27b164b0d1833df0,"5' 7""",1,8,18,Kalindra Faria,--,1.44,0.45,2.23,0.56,Switch,0.7,1.31,0.2,0.66,125 lbs.
--,04e9955f33e0c267,"5' 9""",0,1,1,Joao Paulo Faria,--,2.09,0.85,6.69,0.64,,1.2,1.25,0.0,0.5,155 lbs.
"Jul 05, 1980",91d73ee59347ac16,"6' 1""",0,6,14,Brodie Farber,--,2.17,0.53,1.69,0.45,Orthodox,0.9,0.9,0.2,0.5,170 lbs.
"Mar 08, 1981",d58478ded5534695,"5' 11""",0,4,28,Maiquel Falcao,--,0.53,0.86,1.67,0.55,Orthodox,3.0,1.0,0.71,1.0,185 lbs.
"Dec 12, 1986",862b0b3375aa4b6e,"5' 8""",0,3,6,Zarah Fairn,"72""",2.53,0.44,0.51,0.4,,0.0,0.0,0.5,0.0,145 lbs.
--,adea9f0090aa8e14,"6' 1""",0,5,4,Jason Fairn,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,230 lbs.
"Aug 16, 1979",453ee00c3e1ae9dd,"5' 9""",0,20,33,Ron Faircloth,--,8.9,0.42,0.39,0.4,Orthodox,0.0,0.0,0.0,0.0,205 lbs.
"Apr 26, 1986",e17ac6410c8377f4,"6' 0""",0,3,14,Bartosz Fabinski,"75""",1.35,0.53,2.22,0.7,Orthodox,0.0,7.17,0.8,0.7,170 lbs.
"Jul 14, 1975",40389d39a92f5bfa,"5' 6""",0,3,14,Wagnney Fabiano,"69""",0.66,0.7,1.19,0.38,Southpaw,0.4,3.44,1.0,0.64,145 lbs.
"Jun 25, 1987",8c020156779f7888,"5' 6""",2,4,4,Melinda Fabian,"66""",4.0,0.62,4.03,0.41,,0.0,0.0,1.0,0.0,125 lbs.
"May 14, 1979",78114b7199cef90c,"5' 6""",0,10,35,Urijah Faber,"67""",2.52,0.64,2.68,0.41,Orthodox,0.9,1.59,0.6,0.31,135 lbs.
"Jul 15, 1984",6224e8d0a34264eb,--,0,3,2,Edward Faaloloto,"70""",6.25,0.44,2.28,0.32,,0.0,1.01,0.33,0.25,155 lbs.
"Apr 22, 1991",45f0cc9d18f35137,"5' 9""",0,3,14,Chris Gutierrez,"67""",2.3,0.64,3.65,0.55,Orthodox,0.0,0.38,0.66,0.33,135 lbs.
"Sep 15, 1990",cd85b48dc880fabd,"5' 10""",0,3,3,Horacio Gutierrez,"69""",2.91,0.46,0.86,0.26,,0.0,0.0,0.5,0.0,145 lbs.
"Jan 19, 1981",a789defa9086da46,"6' 1""",0,9,18,Justin Guthrie,--,3.74,0.14,0.16,0.33,,4.9,2.44,0.0,0.25,170 lbs.
"Jan 15, 1987",3c6976f8182d9527,"6' 5""",0,6,18,Alexander Gustafsson,"79""",3.44,0.51,4.02,0.4,Orthodox,0.4,1.56,0.85,0.39,205 lbs.
"May 19, 1977",cc300e9aa3063431,"6' 0""",0,3,6,Andre Gusmao,--,3.28,0.6,2.79,0.43,Orthodox,0.0,0.0,0.6,0.0,205 lbs.
--,8377c5572cb356f3,"6' 0""",0,2,3,Fabio Gurgel,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,205 lbs.
"Jan 25, 1977",04d5718ed2661e8c,"5' 7""",0,9,14,Jorge Gurgel,"69""",3.62,0.62,3.37,0.32,Orthodox,0.5,0.81,0.6,0.23,155 lbs.
"Nov 24, 1985",3956bdc8ab2e54b3,"5' 9""",0,2,7,John Gunther,"72""",3.72,0.46,1.65,0.37,Orthodox,0.0,7.08,0.0,0.42,155 lbs.
"Jan 05, 1979",a0c139b34f11421a,"5' 9""",2,12,32,John Gunderson,"69""",1.71,0.58,1.04,0.27,Orthodox,2.0,1.67,0.11,0.33,155 lbs.
--,4d74641fac830182,"5' 11""",1,6,10,Brad Gumm,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,170 lbs.
"Apr 15, 1982",cc98d857b148e33a,"6' 0""",0,3,11,Leonardo Augusto Leleco,"73""",2.99,0.44,2.35,0.56,Orthodox,1.0,0.0,0.52,0.0,185 lbs.
"Jun 25, 1983",0c9c0a43d3f3f49d,"6' 0""",1,2,9,Marcelo Guimaraes,"73""",4.41,0.62,4.67,0.51,Orthodox,0.0,1.99,0.0,0.13,185 lbs.
"Dec 09, 1972",da0f33e4255f99eb,"6' 0""",0,12,13,Chris Guillen,--,1.91,0.36,0.82,0.27,Orthodox,0.0,0.0,0.0,0.0,240 lbs.
"Mar 30, 1983",ccd1299e0345e0ce,"5' 9""",3,15,48,Melvin Guillard,"68""",1.85,0.66,2.96,0.4,Orthodox,0.2,1.3,0.61,0.63,155 lbs.
"Aug 04, 1977",ce25b4ed82b1811b,"5' 10""",0,28,19,Jason Guida,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,214 lbs.
"Dec 08, 1981",c47df9303d318c67,"5' 7""",0,16,35,Clay Guida,"70""",2.46,0.65,2.45,0.33,Orthodox,0.7,3.32,0.69,0.37,155 lbs.
"Dec 30, 1981",9f1641c08cf8fbe2,"5' 10""",0,6,14,Shannon Gugerty,"71""",1.88,0.58,1.25,0.39,Orthodox,3.4,2.13,0.5,0.27,155 lbs.
"Jul 24, 1990",2963369e327e1979,"5' 10""",0,5,21,Fabricio Guerreiro,--,2.2,0.67,1.87,0.31,,0.0,2.0,0.0,0.5,145 lbs.
"Dec 20, 1975",1abfb658cd4f8533,"6' 3""",1,5,11,Nandor Guelmino,"76""",3.16,0.33,3.62,0.56,,0.0,0.0,0.42,0.0,230 lbs.
"Mar 14, 1986",dd12382f28296f7b,"5' 9""",1,1,20,Wang Guan,"71""",3.27,0.6,4.73,0.43,Orthodox,0.0,0.0,0.0,0.0,145 lbs.
"Jan 03, 1987",56fcb2c4d99f9d1b,"5' 7""",0,1,12,Mike Grundy,"72""",2.27,0.76,3.4,0.58,Orthodox,0.0,1.55,1.0,0.33,145 lbs.
